name,pos,adp,proj,surplus,there@5,there@20,there@29,there@44,there@53,there@77,there@92,there@101,there@116,there@125,there@140,there@149,there@164,there@173
Davante Adams,WR,53.0,186,30,89,89,89,89,86,0,0,0,0,0,0,0,0,0
Bhayshul Tuten,RB,54.0,176,12,90,90,90,89,79,0,0,0,0,0,0,0,0,0
Tyler Warren,TE,55.0,151,35,90,90,90,87,68,0,0,0,0,0,0,0,0,0
Jameson Williams,WR,56.0,187,31,91,91,91,91,89,0,0,0,0,0,0,0,0,0
Terry McLaurin,WR,57.0,180,24,91,91,91,91,90,0,0,0,0,0,0,0,0,0
Luther Burden III,WR,58.0,168,12,91,91,91,91,89,1,0,0,0,0,0,0,0,0
Dak Prescott,QB,59.0,324,12,89,89,89,89,87,1,0,0,0,0,0,0,0,0
Josh Jacobs,RB,60.0,187,23,89,88,84,59,31,0,0,0,0,0,0,0,0,0
Rome Odunze,WR,61.0,180,24,91,91,91,91,89,2,0,0,0,0,0,0,0,0
Christian Watson,WR,62.0,156,0,90,90,90,90,89,7,0,0,0,0,0,0,0,0
Jayden Daniels,QB,63.0,347,35,92,92,91,81,50,0,0,0,0,0,0,0,0,0
Jalen Hurts,QB,64.0,340,28,91,91,90,84,67,1,0,0,0,0,0,0,0,0
Sam LaPorta,TE,65.0,125,9,91,90,88,71,45,0,0,0,0,0,0,0,0,0
Harold Fannin Jr.,TE,66.0,133,17,92,92,92,92,92,23,0,0,0,0,0,0,0,0
Mike Evans,WR,67.0,171,15,92,92,92,92,92,41,0,0,0,0,0,0,0,0
Rhamondre Stevenson,RB,68.0,166,2,91,91,91,91,91,50,0,0,0,0,0,0,0,0
Marvin Harrison Jr.,WR,69.0,166,10,92,92,92,92,92,39,0,0,0,0,0,0,0,0
Parker Washington,WR,70.0,176,20,91,91,91,91,91,46,0,0,0,0,0,0,0,0
TreVeyon Henderson,RB,71.0,168,4,92,92,92,92,92,63,1,0,0,0,0,0,0,0
Tucker Kraft,TE,72.0,136,20,93,93,93,92,87,15,0,0,0,0,0,0,0,0
Matthew Stafford,QB,72.7,297,-15,93,93,93,91,87,18,0,0,0,0,0,0,0,0
Tony Pollard,RB,73.0,164,0,92,92,92,92,92,82,3,0,0,0,0,0,0,0
Kyle Pitts Sr.,TE,74.0,150,34,93,93,93,91,86,16,0,0,0,0,0,0,0,0
Caleb Williams,QB,75.0,314,2,93,93,93,93,92,40,1,0,0,0,0,0,0,0
Jaylen Warren,RB,76.0,176,12,93,93,93,93,93,89,4,0,0,0,0,0,0,0
Rico Dowdle,RB,77.0,153,-11,94,94,94,94,94,88,16,0,0,0,0,0,0,0
Courtland Sutton,WR,78.0,165,9,93,93,93,93,93,90,14,0,0,0,0,0,0,0
George Kittle,TE,79.0,129,13,92,92,92,91,90,48,1,0,0,0,0,0,0,0
Trevor Lawrence,QB,80.0,301,-11,92,92,92,92,91,54,3,0,0,0,0,0,0,0
Jonathon Brooks,RB,82.0,133,-31,93,93,93,93,93,82,18,0,0,0,0,0,0,0
Seattle Defense,DEF,82.2,118,17,100,100,100,100,100,100,100,100,100,58,2,0,0,0
Justin Herbert,QB,83.0,315,3,94,94,94,94,93,66,7,1,0,0,0,0,0,0
Brian Thomas Jr.,WR,84.0,171,15,94,94,94,94,94,92,47,0,0,0,0,0,0,0
Brock Purdy,QB,84.0,303,-9,94,94,94,94,94,74,12,1,0,0,0,0,0,0
Alec Pierce,WR,85.0,165,9,94,94,94,94,94,93,55,7,0,0,0,0,0,0
J.K. Dobbins,RB,86.0,148,-16,94,94,94,94,94,93,56,8,0,0,0,0,0,0
Jakobi Meyers,WR,86.9,143,-13,94,94,94,94,94,94,72,24,0,0,0,0,0,0
Chris Godwin Jr.,WR,87.0,145,-11,94,94,94,94,94,93,60,18,0,0,0,0,0,0
Carnell Tate,WR,88.0,148,-8,94,94,94,94,94,94,73,31,0,0,0,0,0,0
DK Metcalf,WR,89.0,164,8,95,95,95,95,95,95,80,33,0,0,0,0,0,0
Quentin Johnston,WR,92.0,146,-10,95,95,95,95,95,94,79,44,1,0,0,0,0,0
Denver Defense,DEF,92.6,116,15,100,100,100,100,100,100,100,100,100,65,4,0,0,0
RJ Harvey,RB,94.0,142,-22,95,95,95,95,95,91,61,22,0,0,0,0,0,0
Wan'Dale Robinson,WR,94.9,131,-25,95,95,95,95,95,95,88,63,3,0,0,0,0,0
Jordan Mason,RB,95.0,113,-51,95,95,95,95,95,91,58,20,0,0,0,0,0,0
Houston Defense,DEF,97.6,114,13,100,100,100,100,100,100,100,100,100,71,6,1,0,0
Kenny Gainwell,RB,98.0,134,-30,95,95,95,95,95,95,83,50,3,0,0,0,0,0
Xavier Worthy,WR,99.3,148,-8,95,95,95,95,95,95,89,70,6,0,0,0,0,0
Michael Wilson,WR,100.0,148,-8,96,96,96,96,96,96,95,91,25,2,0,0,0,0
Blake Corum,RB,101.0,110,-54,97,97,97,97,97,93,72,37,2,0,0,0,0,0
Romeo Doubs,WR,101.6,128,-28,97,97,97,97,97,97,93,81,14,2,0,0,0,0
Matthew Golden,WR,101.7,133,-23,96,96,96,96,96,96,92,82,16,2,0,0,0,0
Jared Goff,QB,102.1,291,-21,96,96,96,96,96,96,85,57,8,1,0,0,0,0
J. Croskey-Merritt,RB,102.9,137,-27,96,96,96,96,96,96,90,71,11,0,0,0,0,0
Patrick Mahomes,QB,103.9,326,14,96,96,96,96,96,95,67,45,7,1,0,0,0,0
Deebo Samuel Sr.,WR,106.5,123,-33,97,97,97,97,97,97,95,89,33,8,0,0,0,0
Chuba Hubbard,RB,107.0,137,-27,96,96,96,96,96,96,96,93,50,4,0,0,0,0
Kyle Monangai,RB,107.1,132,-32,97,97,97,97,97,97,94,85,34,6,0,0,0,0
LA Rams Defense,DEF,107.3,112,11,100,100,100,100,100,100,100,100,100,83,16,3,0,0
Minnesota Defense,DEF,108.1,110,9,100,100,100,100,100,100,100,100,100,84,20,3,0,0
Khalil Shakir,WR,108.6,134,-22,97,97,97,97,97,97,96,95,61,24,2,0,0,0
Jordan Addison,WR,109.0,148,-8,97,97,97,97,97,97,96,95,61,26,1,0,0,0
Dallas Goedert,TE,109.2,118,2,97,97,97,96,94,75,35,13,1,0,0,0,0,0
